SCHEME START,SCHEME END,PRODUCT,DAYS  OF DISCOUNT,DISCOUNT (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
04-01-2005,31-03-2006,PROD E,451,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01-2005,15-07-2005,PROD C,192,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04-01-2005,30-05-2005,PROD B,146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01-2005,31-03-2006,PROD A,451,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06-01-2005,15-07-2005,PROD C,190,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-2005,15-07-2005,PROD C,190,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-2005,31-01-2006,PROD C,386,15.5,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-01-2005,31-10-2005,PROD A,294,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-2005,15-10-2005,PROD B,278,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-2005,01-06-2005,PROD A,132,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
22-01-2005,01-11-2005,PROD A,283,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-01-2005,01-12-2005,PROD C,311,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-01-2005,31-01-2005,PROD C,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29-01-2005,31-01-2005,PROD B,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2005,01-12-2005,PROD A,304,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-02-2005,31-08-2005,PROD B,204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-2005,03-10-2005,PROD B,230,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-2005,02-08-2005,PROD A,168,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-2005,03-10-2005,PROD B,230,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-02-2005,15-03-2005,PROD D,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22-02-2005,03-10-2005,PROD A,223,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-02-2005,15-03-2005,PROD E,18,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10-03-2005,30-10-2005,PROD C,234,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-03-2005,25-03-2005,PROD A,10,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15-03-2005,02-10-2005,PROD A,201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-03-2005,02-10-2005,PROD E,201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-03-2005,02-11-2005,PROD D,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20-03-2005,02-11-2005,PROD C,227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21-03-2005,03-07-2005,PROD D,104,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21-03-2005,03-07-2005,PROD C,104,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18-04-2005,30-06-2005,PROD D,73,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-04-2005,31-05-2005,PROD D,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-04-2005,31-05-2005,PROD D,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-04-2005,15-05-2005,PROD B,25,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
